                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.423,                 3.2216,                 1.1853,                      1,                0.30461,                0.50657,                0.40419,                0.84251,                 2.8868,                 0.9499,             0.00021671,             0.00021671,             0.00021671
                      2,                0.86283,                 1.0618,                0.93676,                0.98544,                0.38771,                0.49831,                  0.367,                0.83488,                 2.6813,                0.92817,              0.0004486,              0.0004486,              0.0004486
                      3,                0.77424,                0.88045,                0.92046,                      1,                0.45955,                 0.5089,                0.37514,                0.73717,                 2.4546,                0.90663,             0.00067896,             0.00067896,             0.00067896
                      4,                0.74023,                0.78146,                 0.8986,                0.99883,                    0.5,                0.73682,                0.58583,                0.73165,                 2.0407,                0.96131,             0.00090777,             0.00090777,             0.00090777
                      5,                0.69666,                 0.6884,                0.90241,                0.99726,                    0.5,                  0.995,                0.83484,                0.63367,                 1.7557,                0.90505,               0.001135,               0.001135,               0.001135
                      6,                0.70402,                0.67517,                 0.9036,                      1,                0.67663,                  0.995,                0.80493,                0.72518,                 1.6846,                0.96277,              0.0013608,              0.0013608,              0.0013608
                      7,                0.75608,                0.70725,                0.93185,                0.99799,                0.59404,                  0.995,                0.85762,                0.60135,                 1.7511,                0.89634,               0.001585,               0.001585,               0.001585
                      8,                0.71584,                0.62545,                0.91203,                0.96991,                0.98635,                  0.995,                0.83778,                0.61971,                 1.0346,                0.90381,              0.0016285,              0.0016285,              0.0016285
                      9,                0.66897,                0.60138,                0.89815,                0.99686,                      1,                  0.995,                0.86756,                0.59585,                0.73198,                0.89415,               0.001623,               0.001623,               0.001623
                     10,                0.65461,                0.56881,                0.88316,                0.99909,                      1,                  0.995,                0.84771,                0.63765,                0.57915,                0.90408,              0.0016175,              0.0016175,              0.0016175
                     11,                0.61765,                 0.5419,                0.86853,                0.99883,                      1,                  0.995,                0.88283,                0.54184,                0.50358,                 0.8713,               0.001612,               0.001612,               0.001612
                     12,                0.59963,                0.54054,                 0.8796,                0.99896,                      1,                  0.995,                0.86177,                0.57556,                0.48398,                0.87938,              0.0016065,              0.0016065,              0.0016065
                     13,                0.61669,                0.52923,                0.86858,                0.99942,                      1,                  0.995,                0.88355,                0.53148,                0.44253,                0.86426,               0.001601,               0.001601,               0.001601
                     14,                0.61004,                0.50492,                0.87528,                0.99955,                      1,                  0.995,                0.89437,                0.48893,                0.42027,                0.86072,              0.0015955,              0.0015955,              0.0015955
                     15,                0.60163,                 0.4854,                 0.8805,                0.99936,                      1,                  0.995,                0.88855,                 0.5087,                0.40997,                0.86638,                0.00159,                0.00159,                0.00159
                     16,                0.61093,                0.51943,                0.87173,                0.99918,                      1,                  0.995,                0.87519,                 0.5415,                0.41199,                0.88255,              0.0015845,              0.0015845,              0.0015845
                     17,                0.59245,                0.46731,                0.87719,                0.99962,                      1,                  0.995,                0.89126,                0.50117,                0.39163,                0.86757,               0.001579,               0.001579,               0.001579
                     18,                0.58329,                0.45061,                0.86328,                0.99954,                      1,                  0.995,                 0.8906,                0.50619,                0.39419,                0.86169,              0.0015735,              0.0015735,              0.0015735
                     19,                0.60077,                0.43928,                0.86961,                0.99949,                      1,                  0.995,                0.88854,                0.49148,                0.37922,                0.85181,               0.001568,               0.001568,               0.001568
